Month-Day,RecordHigh,RecordHighYear,RecordLow,RecordLowYear,RecordLowMax,RecordLowMaxYear,RecordWarmMin,RecordWarmMinYear,NormalHigh,NormalLow
07-06,103.0,1999,57.0,"1979, and prior",70.0,1909,83.0,1999,90,72
07-07,105.0,2012,56.0,1906,74.0,"1948, and prior",82.0,2012,90,72
07-08,102.0,2012,54.0,"1892, and prior",62.0,1891,80.0,"2024, and prior",90,72
07-09,104.0,1936,55.0,1891,72.0,1883,82.0,1981,90,72
07-10,105.0,1936,54.0,1894,75.0,1895,81.0,"2024, and prior",90,72
07-11,99.0,"1988, and prior",54.0,1898,68.0,1895,79.0,1989,90,72
07-12,99.0,1908,53.0,1895,73.0,1898,78.0,2021,90,72
07-13,100.0,1954,56.0,1888,70.0,1990,79.0,2017,90,73
07-14,101.0,2024,55.0,1904,72.0,1963,79.0,2024,90,73
07-15,102.0,2024,56.0,1895,68.0,1926,81.0,2024,90,73
07-16,104.0,"2024, and prior",56.0,"1930, and prior",75.0,1962,84.0,1983,90,73
07-17,102.0,1980,56.0,"1929, and prior",72.0,1945,80.0,"2013, and prior",90,73
07-18,103.0,1887,55.0,1892,72.0,"1939, and prior",80.0,"2013, and prior",90,73
07-19,102.0,1930,56.0,"1911, and prior",76.0,"1929, and prior",81.0,2013,90,73
07-20,106.0,1930,53.0,1890,72.0,1875,82.0,2015,90,73
07-21,104.0,1926,56.0,"1909, and prior",71.0,2012,82.0,1987,90,73
07-22,103.0,1926,53.0,1890,70.0,1905,83.0,2011,90,73
07-23,102.0,2011,56.0,1890,69.0,1894,84.0,2011,90,73
07-24,101.0,2010,57.0,1947,69.0,1997,84.0,2011,90,73
07-25,100.0,"2016, and prior",58.0,"1915, and prior",70.0,1904,81.0,2016,90,73
07-26,103.0,1930,54.0,1920,71.0,"2002, and prior",80.0,2016,90,73
07-27,100.0,1940,55.0,1920,74.0,1901,81.0,"2016, and prior",90,73
07-28,100.0,"1997, and prior",56.0,1920,74.0,1984,80.0,1949,89,72
07-29,104.0,2011,58.0,1920,68.0,2001,80.0,"2011, and prior",89,72
07-30,99.0,1953,56.0,1914,68.0,1972,81.0,2011,89,72
07-31,103.0,1954,52.0,1895,70.0,"1918, and prior",80.0,2011,89,72
08-01,100.0,2011,54.0,1895,66.0,1903,79.0,"2006, and prior",89,72
08-02,100.0,2002,55.0,1895,66.0,1875,80.0,"2024, and prior",89,72
08-03,101.0,2006,56.0,1920,70.0,"1927, and prior",81.0,2006,89,72
08-04,102.0,1930,54.0,1912,73.0,1912,79.0,2012,89,72
08-05,102.0,1930,54.0,1912,69.0,1925,80.0,1989,89,72
08-06,106.0,1918,53.0,1912,74.0,"2013, and prior",79.0,2024,89,72
08-07,104.0,1918,58.0,"2004, and prior",70.0,1935,78.0,2007,89,72
08-08,102.0,2007,54.0,1903,72.0,"1942, and prior",80.0,2007,89,72
08-09,102.0,1930,57.0,1989,70.0,1908,80.0,1980,89,72
08-10,98.0,"2010, and prior",55.0,"1919, and prior",71.0,1962,78.0,"1980, and prior",89,72
08-11,101.0,1900,56.0,1879,69.0,"1989, and prior",80.0,2010,88,72
08-12,99.0,"2016, and prior",55.0,1889,66.0,1913,81.0,2016,88,72
08-13,101.0,"2016, and prior",55.0,"1930, and prior",70.0,1919,81.0,2016,88,72
08-14,100.0,"2016, and prior",55.0,"1941, and prior",67.0,1903,80.0,"2016, and prior",88,71
08-15,103.0,1988,51.0,1963,67.0,1899,78.0,2005,88,71
08-16,102.0,1997,54.0,1921,66.0,1883,78.0,1997,88,71
08-17,105.0,1997,51.0,1902,69.0,1923,80.0,1995,88,71
08-18,98.0,2002,54.0,1902,68.0,1918,79.0,"2021, and prior",88,71
08-19,98.0,"2019, and prior",53.0,1924,67.0,1957,78.0,"2019, and prior",88,71
08-20,101.0,1983,50.0,1896,67.0,1926,78.0,2002,88,71
08-21,100.0,1874,53.0,1908,65.0,1926,76.0,"2011, and prior",87,71
08-22,99.0,1983,51.0,1923,69.0,1931,79.0,1959,87,70
08-23,98.0,1936,52.0,"1925, and prior",65.0,1931,78.0,"2002, and prior",87,70
08-24,98.0,1968,49.0,1890,64.0,1875,77.0,1968,87,70
08-25,97.0,"1998, and prior",54.0,"1942, and prior",65.0,1940,77.0,1978,87,70
08-26,97.0,1948,51.0,1942,61.0,1908,77.0,"2016, and prior",87,70
08-27,100.0,1987,51.0,1885,63.0,1908,79.0,1959,86,70
08-28,101.0,2024,50.0,1874,64.0,1915,78.0,"2018, and prior",86,70
08-29,98.0,"1973, and prior",49.0,1986,68.0,1891,79.0,2018,86,69
08-30,99.0,1953,50.0,"1986, and prior",62.0,1911,78.0,2018,86,69
08-31,100.0,"1953, and prior",49.0,1934,63.0,1911,78.0,1980,86,69
09-01,99.0,"1980, and prior",50.0,1890,61.0,1893,77.0,"1980, and prior",85,69
09-02,101.0,1980,50.0,"1895, and prior",64.0,1935,78.0,1980,85,68
09-03,98.0,1953,48.0,"1909, and prior",68.0,1926,79.0,1993,85,68
09-04,98.0,2023,49.0,"1908, and prior",67.0,1926,79.0,2018,85,68
09-05,99.0,2023,50.0,1902,63.0,1928,78.0,"2018, and prior",84,68
09-06,98.0,"2023, and prior",47.0,1909,60.0,1928,78.0,2018,84,67
09-07,104.0,1881,46.0,1924,60.0,1888,78.0,2023,84,67
09-08,100.0,1939,52.0,1988,63.0,"1918, and prior",76.0,1985,83,67
09-09,98.0,1872,48.0,1901,58.0,1880,78.0,2016,83,66
09-10,98.0,1983,44.0,1883,62.0,1924,77.0,2016,83,66
09-11,98.0,1983,40.0,1917,60.0,1883,76.0,2013,82,66
09-12,98.0,2019,41.0,1917,63.0,"1914, and prior",75.0,1983,82,66
09-13,94.0,"1925, and prior",44.0,1917,63.0,1964,74.0,2008,82,65
09-14,95.0,2016,46.0,1911,63.0,1913,75.0,"2008, and prior",81,65
09-15,97.0,"1930, and prior",43.0,"1902, and prior",58.0,1963,75.0,2005,81,64
09-16,96.0,1991,44.0,1902,63.0,1963,75.0,2005,81,64
09-17,96.0,1991,44.0,1923,60.0,1945,75.0,1991,80,64
09-18,91.0,"1927, and prior",45.0,1937,56.0,1875,73.0,"2018, and prior",80,63
09-19,96.0,1895,44.0,1916,58.0,1875,73.0,"2016, and prior",80,63
09-20,94.0,1895,41.0,1916,62.0,1901,73.0,1965,79,63
09-21,96.0,1895,41.0,1956,60.0,1918,74.0,"1989, and prior",79,62
09-22,98.0,1895,39.0,1904,57.0,1904,75.0,1965,78,62
09-23,98.0,1895,36.0,1904,56.0,1925,74.0,1980,78,62
09-24,99.0,2010,39.0,1963,54.0,1887,75.0,1970,78,61
09-25,95.0,1930,39.0,1963,57.0,1887,74.0,2010,77,61
09-26,96.0,1930,38.0,1879,54.0,2000,72.0,"2024, and prior",77,60
09-27,95.0,1998,40.0,1879,53.0,1956,74.0,2024,76,60
09-28,91.0,1886,42.0,"1947, and prior",52.0,1984,73.0,1881,76,60
09-29,93.0,1954,40.0,1942,57.0,1888,73.0,1959,76,59
09-30,91.0,"1986, and prior",38.0,1942,55.0,1928,73.0,1881,75,59
10-01,93.0,"1941, and prior",36.0,1899,56.0,1899,73.0,1954,75,58
10-02,98.0,2019,33.0,1899,52.0,"2011, and prior",73.0,2019,75,58
10-03,92.0,1879,35.0,1899,53.0,"2011, and prior",73.0,2019,74,58
10-04,94.0,1954,34.0,1974,55.0,2022,74.0,"1941, and prior",74,57
10-05,96.0,1941,37.0,1935,53.0,1948,74.0,1898,74,57
10-06,93.0,1941,35.0,1881,45.0,1935,72.0,1941,73,56
10-07,95.0,1941,34.0,1917,50.0,1889,71.0,"2018, and prior",73,56
10-08,91.0,2007,36.0,"1964, and prior",54.0,"1910, and prior",75.0,2017,72,55
10-09,94.0,2007,34.0,1889,48.0,1917,74.0,2017,72,55
10-10,92.0,1939,30.0,1895,46.0,1925,73.0,2018,72,55
10-11,90.0,1919,33.0,1906,49.0,1888,70.0,2018,71,54
10-12,89.0,1962,31.0,1906,51.0,1891,68.0,1983,71,54
10-13,89.0,1954,31.0,1906,49.0,1891,72.0,1990,70,53
10-14,87.0,1975,32.0,1875,49.0,1889,67.0,"1990, and prior",70,53
10-15,87.0,1975,32.0,1874,49.0,1876,67.0,2008,70,52
10-16,89.0,"1897, and prior",30.0,1876,45.0,2009,67.0,1947,69,52
10-17,86.0,"1938, and prior",33.0,"1893, and prior",47.0,2009,68.0,1928,69,52
10-18,85.0,"1938, and prior",34.0,1876,51.0,1927,68.0,"1947, and prior",69,51
10-19,88.0,1938,30.0,1880,45.0,1972,65.0,"2016, and prior",68,51
10-20,86.0,1969,31.0,1972,42.0,1940,68.0,2016,68,50
10-21,85.0,1947,30.0,"1974, and prior",49.0,1913,64.0,"1984, and prior",68,50
10-22,84.0,"1979, and prior",29.0,1895,45.0,1925,69.0,1984,67,50
10-23,85.0,"1978, and prior",33.0,"1969, and prior",40.0,1889,69.0,2007,67,49
10-24,84.0,"2012, and prior",29.0,"1969, and prior",49.0,"1909, and prior",64.0,1908,66,49
10-25,80.0,"2021, and prior",31.0,1937,48.0,2005,65.0,1971,66,49
10-26,82.0,"1978, and prior",28.0,1879,44.0,1962,63.0,"2010, and prior",66,48
10-27,83.0,1963,30.0,1962,44.0,1936,68.0,2010,65,48
10-28,87.0,1919,27.0,1936,47.0,1976,66.0,1984,65,48
10-29,82.0,1918,30.0,"1976, and prior",42.0,2011,65.0,1946,65,47
10-30,82.0,"1996, and prior",26.0,1873,41.0,2002,64.0,1918,64,47
10-31,85.0,1950,26.0,"1917, and prior",41.0,1925,66.0,1971,64,46
11-01,86.0,1974,27.0,1893,48.0,"1992, and prior",68.0,1971,64,46
11-02,85.0,1971,28.0,1923,42.0,1951,68.0,1971,63,46
11-03,83.0,2016,29.0,"1917, and prior",39.0,1875,64.0,1977,63,45
11-04,84.0,1974,26.0,1879,39.0,1879,67.0,1977,62,45
11-05,81.0,"2003, and prior",20.0,1879,41.0,"1891, and prior",66.0,1977,62,45
11-06,83.0,2024,26.0,1967,39.0,1953,66.0,2022,62,44
11-07,84.0,2024,27.0,1930,42.0,1886,64.0,2024,61,44
11-08,81.0,1975,27.0,1930,39.0,1886,63.0,1975,61,44
11-09,79.0,1994,26.0,1976,42.0,1991,60.0,1977,61,43
11-10,76.0,"2020, and prior",27.0,1914,41.0,1933,60.0,"1975, and prior",60,43
11-11,78.0,"2024, and prior",26.0,"2017, and prior",35.0,1987,61.0,"2022, and prior",60,43
11-12,77.0,"1912, and prior",24.0,1926,41.0,1907,61.0,1935,59,42
11-13,80.0,1879,22.0,1911,31.0,1911,60.0,1879,59,42
11-14,77.0,"1985, and prior",19.0,1920,35.0,"1908, and prior",59.0,1929,59,42
11-15,83.0,1993,20.0,1905,34.0,1933,61.0,"1993, and prior",58,42
11-16,76.0,"2001, and prior",19.0,"1933, and prior",30.0,1933,58.0,"1930, and prior",58,41
11-17,77.0,1896,17.0,1933,35.0,1924,64.0,1930,58,41
11-18,80.0,1921,21.0,"1959, and prior",33.0,1924,65.0,1928,57,41
11-19,77.0,1928,18.0,1891,33.0,1880,59.0,"2015, and prior",57,40
11-20,79.0,1942,20.0,1901,33.0,1873,60.0,"1985, and prior",56,40
11-21,79.0,1900,18.0,1872,28.0,1879,61.0,"1991, and prior",56,40
11-22,77.0,2007,12.0,1880,28.0,1880,60.0,1883,56,40
11-23,75.0,1979,12.0,1880,29.0,1880,60.0,1883,55,39
11-24,74.0,"2014, and prior",13.0,1880,31.0,"1956, and prior",60.0,1979,55,39
11-25,79.0,1973,18.0,1950,34.0,"1938, and prior",60.0,1979,55,39
11-26,74.0,1979,17.0,1950,29.0,1880,55.0,1946,54,39
11-27,75.0,1896,14.0,1938,30.0,"1930, and prior",60.0,1896,54,38
11-28,74.0,1973,15.0,1930,26.0,1930,55.0,"2001, and prior",54,38
11-29,73.0,1905,14.0,1930,30.0,1903,57.0,2001,53,38
11-30,75.0,1933,11.0,1929,24.0,"1929, and prior",62.0,2001,53,38
12-01,75.0,2006,14.0,"1936, and prior",26.0,1876,56.0,1991,53,38
12-02,73.0,1970,15.0,1886,25.0,1896,53.0,1982,52,37
12-03,71.0,2012,15.0,1976,27.0,1886,53.0,1982,52,37
12-04,76.0,1998,15.0,"1896, and prior",27.0,1886,57.0,1982,52,37
12-05,75.0,2001,14.0,1886,25.0,1886,59.0,1973,52,37
12-06,78.0,1998,11.0,1893,29.0,1910,55.0,2011,51,36
12-07,79.0,1998,10.0,1882,29.0,1958,58.0,1998,51,36
12-08,74.0,1978,8.0,1882,22.0,1882,58.0,1951,51,36
12-09,71.0,1991,4.0,1876,25.0,"1927, and prior",56.0,1980,50,36
12-10,67.0,"1966, and prior",4.0,1876,22.0,"1880, and prior",52.0,1966,50,36
12-11,70.0,2021,12.0,"1917, and prior",21.0,1917,48.0,"2021, and prior",50,35
12-12,71.0,1873,13.0,"1988, and prior",23.0,"1988, and prior",54.0,1873,50,35
12-13,71.0,"2015, and prior",11.0,1960,21.0,1960,51.0,"1991, and prior",49,35
12-14,70.0,"1931, and prior",6.0,1904,25.0,1904,58.0,1901,49,35
12-15,71.0,1971,6.0,1904,20.0,1914,48.0,2018,49,35
12-16,74.0,1971,10.0,1917,21.0,1951,53.0,1971,49,34
12-17,65.0,"2024, and prior",10.0,1876,20.0,1876,54.0,2021,48,34
12-18,74.0,2006,10.0,"1926, and prior",16.0,1919,50.0,2021,48,34
12-19,74.0,1924,6.0,1884,14.0,1884,47.0,"1984, and prior",48,34
12-20,66.0,"1889, and prior",5.0,1942,16.0,1884,52.0,1895,48,34
12-21,72.0,2013,4.0,1942,24.0,"1935, and prior",51.0,"2013, and prior",47,34
12-22,72.0,"2013, and prior",3.0,1872,17.0,1989,57.0,2013,47,33
12-23,71.0,"1990, and prior",7.0,1989,22.0,1989,57.0,1990,47,33
12-24,71.0,2015,5.0,1983,22.0,2022,60.0,2015,47,33
12-25,72.0,1964,3.0,1983,14.0,1983,57.0,2015,47,33
12-26,72.0,1889,4.0,1935,18.0,1914,52.0,1982,46,33
12-27,72.0,1971,2.0,1914,17.0,1925,51.0,2015,46,32
12-28,75.0,1946,10.0,1914,24.0,1894,51.0,2023,46,32
12-29,75.0,1984,2.0,"1917, and prior",14.0,1880,49.0,"2024, and prior",46,32
12-30,70.0,1990,-7.0,1880,9.0,"1917, and prior",51.0,1990,46,32
12-31,70.0,1965,-13.0,1880,12.0,1917,52.0,1884,46,32
